0	0	8
0	1	32
0	2	1
0	3	0
1	0	0
1	1	9
1	2	128
1	3	0
2	0	28
2	1	120
2	2	4
2	3	0
3	0	32
3	1	1
3	2	5
3	3	0
4	0	0
4	1	0
4	2	0
4	3	0
5	0	0
5	1	0
5	2	0
5	3	0
6	0	155
6	1	127
6	2	92
6	3	191
7	0	187
7	1	223
7	2	218
7	3	126
8	0	163
8	1	26
8	2	54
8	3	104
9	0	0
9	1	0
9	2	0
9	3	0
10	0	0
10	1	0
10	2	0
10	3	0
11	0	0
11	1	0
11	2	0
11	3	0
12	0	0
12	1	0
12	2	0
12	3	0
13	0	0
13	1	0
13	2	0
13	3	0
14	0	0
14	1	0
14	2	0
14	3	104
15	0	0
15	1	0
15	2	0
15	3	0
16	0	0
16	1	0
16	2	0
16	3	8
17	0	0
17	1	0
17	2	0
17	3	0
18	0	0
18	1	0
18	2	0
18	3	24
19	0	0
19	1	0
19	2	0
19	3	0
20	0	0
20	1	0
20	2	0
20	3	8
21	0	0
21	1	0
21	2	0
21	3	0
22	0	0
22	1	0
22	2	0
22	3	8
23	0	0
23	1	0
23	2	0
23	3	0
24	0	0
24	1	0
24	2	0
24	3	8
25	0	0
25	1	0
25	2	0
25	3	0
26	0	0
26	1	0
26	2	0
26	3	8
